,title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4,query,rank,date,local_image
0,시디즈 아이블 화이트쉘 패브릭 메쉬 의자 TNB501FE,https://search.shopping.naver.com/gate.nhn?id=26030282862,https://shopping-phinf.pstatic.net/main_2603028/26030282862.20210519182851.jpg,156750,,네이버,26030282862,1,시디즈,시디즈,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,1,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_2603028|26030282862.20210519182851.jpg
1,방석높이 L M H 퀼팅체어 T800MQ 컴퓨터 PC방 중역 사무실 편한 책상 메쉬 의자,https://search.shopping.naver.com/gate.nhn?id=82273034023,https://shopping-phinf.pstatic.net/main_8227303/82273034023.25.jpg,293000,,클라우드백,82273034023,2,클라우드백,,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,2,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_8227303|82273034023.25.jpg
2,체어렉스 침대형 리클라이너 중역 컴퓨터 사무용 사무실 의자 C20 PPADB,https://search.shopping.naver.com/gate.nhn?id=32541768233,https://shopping-phinf.pstatic.net/main_3254176/32541768233.20221206182712.jpg,149000,,네이버,32541768233,1,체어렉스,,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,3,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_3254176|32541768233.20221206182712.jpg
3,시디즈 탭 플러스 화이트쉘 메쉬 의자 TNB200HF,https://search.shopping.naver.com/gate.nhn?id=23161187822,https://shopping-phinf.pstatic.net/main_2316118/23161187822.20200814113207.jpg,173000,,네이버,23161187822,1,시디즈,시디즈,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,4,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_2316118|23161187822.20200814113207.jpg
4,퍼스퍼 내추럴 바른 자세교정 메쉬 편한 컴퓨터의자 사무용 사무실의자 학생 공부 책상의자,https://search.shopping.naver.com/gate.nhn?id=11660624123,https://shopping-phinf.pstatic.net/main_1166062/11660624123.44.jpg,34700,,퍼스퍼,11660624123,2,퍼스퍼,퍼스퍼,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,5,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_1166062|11660624123.44.jpg
5,린백 LB13HW 메쉬 의자,https://search.shopping.naver.com/gate.nhn?id=21738600339,https://shopping-phinf.pstatic.net/main_2173860/21738600339.20220111103404.jpg,58900,,네이버,21738600339,1,린백,린백,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,6,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_2173860|21738600339.20220111103404.jpg
6,HJC 사무용 컴퓨터 의자 사무실 책상의자,https://search.shopping.naver.com/gate.nhn?id=6519827648,https://shopping-phinf.pstatic.net/main_6519827/6519827648.38.jpg,79800,,HJC체어,6519827648,2,HJC,HJC,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,7,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_6519827|6519827648.38.jpg
7,시디즈 서울대의자 아이블 T50 학생 도서관 수험생 공부 스터디카페 책상의자,https://search.shopping.naver.com/gate.nhn?id=82940731652,https://shopping-phinf.pstatic.net/main_8294073/82940731652.14.jpg,188000,,시디즈 미르,82940731652,2,시디즈,시디즈,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,8,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_8294073|82940731652.14.jpg
8,체어스코 네이처 편한 메쉬 컴퓨터의자 사무용 사무실의자 공부 책상의자,https://search.shopping.naver.com/gate.nhn?id=8325683452,https://shopping-phinf.pstatic.net/main_8325683/8325683452.48.jpg,33900,,체어스코,8325683452,2,체어스코,체어스코,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,9,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_8325683|8325683452.48.jpg
9,시니프 편한 팔걸이 조절형 S200 메쉬의자 학생 사무실 컴퓨터 책상 사무용의자,https://search.shopping.naver.com/gate.nhn?id=82344250532,https://shopping-phinf.pstatic.net/main_8234425/82344250532.8.jpg,79700,,시니프,82344250532,2,시니프,시니프,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,10,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_8234425|82344250532.8.jpg
