,title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4,query,rank,date,local_image
2,퍼스퍼 내추럴 바른 자세교정 메쉬 편한 컴퓨터의자 사무용 사무실의자 학생 공부 책상의자,https://search.shopping.naver.com/gate.nhn?id=11660624123,https://shopping-phinf.pstatic.net/main_1166062/11660624123.44.jpg,34700,,퍼스퍼,11660624123,2,퍼스퍼,퍼스퍼,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,3,2023-02-26 23:14:39,dataset/naver_shopping_query_data/images/2023-02-26T23:14:39/https:||shopping-phinf.pstatic.net|main_1166062|11660624123.44.jpg
3,시디즈 탭 플러스 화이트쉘 메쉬 의자 TNB200HF,https://search.shopping.naver.com/gate.nhn?id=23161187822,https://shopping-phinf.pstatic.net/main_2316118/23161187822.20200814113207.jpg,166540,,네이버,23161187822,1,시디즈,시디즈,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,4,2023-02-26 23:14:39,dataset/naver_shopping_query_data/images/2023-02-26T23:14:39/https:||shopping-phinf.pstatic.net|main_2316118|23161187822.20200814113207.jpg
4,제닉스 카카오프렌즈 프리미엄 컴퓨터의자 어피치,https://search.shopping.naver.com/gate.nhn?id=19737493122,https://shopping-phinf.pstatic.net/main_1973749/19737493122.20190802163056.jpg,169000,,네이버,19737493122,1,제닉스,제닉스,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,5,2023-02-26 23:14:39,dataset/naver_shopping_query_data/images/2023-02-26T23:14:39/https:||shopping-phinf.pstatic.net|main_1973749|19737493122.20190802163056.jpg
5,린백 LB13HW 메쉬 의자,https://search.shopping.naver.com/gate.nhn?id=21738600339,https://shopping-phinf.pstatic.net/main_2173860/21738600339.20220111103404.jpg,60900,,네이버,21738600339,1,린백,린백,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,6,2023-02-26 23:14:39,dataset/naver_shopping_query_data/images/2023-02-26T23:14:39/https:||shopping-phinf.pstatic.net|main_2173860|21738600339.20220111103404.jpg
6,아우디 침대형의자 게이밍 개인방송 사무실 컴퓨터 책상 무중력의자,https://search.shopping.naver.com/gate.nhn?id=81988344055,https://shopping-phinf.pstatic.net/main_8198834/81988344055.6.jpg,116000,,파파가구,81988344055,2,,,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,7,2023-02-26 23:14:39,dataset/naver_shopping_query_data/images/2023-02-26T23:14:39/https:||shopping-phinf.pstatic.net|main_8198834|81988344055.6.jpg
7,완조립루게 ST30 고정 서울대 학생 회의 회의용 사무용 허리 바퀴없는 사무책상 공부의자,https://search.shopping.naver.com/gate.nhn?id=83820124835,https://shopping-phinf.pstatic.net/main_8382012/83820124835.6.jpg,73800,,루게,83820124835,2,루게,,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,8,2023-02-26 23:14:39,dataset/naver_shopping_query_data/images/2023-02-26T23:14:39/https:||shopping-phinf.pstatic.net|main_8382012|83820124835.6.jpg
8,린백 LB31HB 학생 사무용 메쉬의자,https://search.shopping.naver.com/gate.nhn?id=14483676957,https://shopping-phinf.pstatic.net/main_1448367/14483676957.20230105115523.jpg,95900,,네이버,14483676957,1,린백,린백,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,9,2023-02-26 23:14:39,dataset/naver_shopping_query_data/images/2023-02-26T23:14:39/https:||shopping-phinf.pstatic.net|main_1448367|14483676957.20230105115523.jpg
9,HJC 사무용 컴퓨터 의자 사무실 책상의자,https://search.shopping.naver.com/gate.nhn?id=6519827648,https://shopping-phinf.pstatic.net/main_6519827/6519827648.38.jpg,79800,,HJC체어,6519827648,2,HJC,HJC,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,10,2023-02-26 23:14:39,dataset/naver_shopping_query_data/images/2023-02-26T23:14:39/https:||shopping-phinf.pstatic.net|main_6519827|6519827648.38.jpg
12,퍼시스 CH6200CH 메쉬 의자,https://search.shopping.naver.com/gate.nhn?id=11515738337,https://shopping-phinf.pstatic.net/main_1151573/11515738337.20201030104108.jpg,181260,,네이버,11515738337,1,퍼시스,퍼시스,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,13,2023-02-26 23:14:39,dataset/naver_shopping_query_data/images/2023-02-26T23:14:39/https:||shopping-phinf.pstatic.net|main_1151573|11515738337.20201030104108.jpg
13,시디즈 T50 시리즈 TNA500HA 메쉬의자,https://search.shopping.naver.com/gate.nhn?id=28659209440,https://shopping-phinf.pstatic.net/main_2865920/28659209440.20220512114532.jpg,236480,,네이버,28659209440,1,시디즈,시디즈,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,14,2023-02-26 23:14:39,dataset/naver_shopping_query_data/images/2023-02-26T23:14:39/https:||shopping-phinf.pstatic.net|main_2865920|28659209440.20220512114532.jpg
